,marital-status,workclass,occupation,salary,relationship,hours-per-week,sex,native-country,first_name,last_names
18716,Never-married,Private,Handlers-cleaners,<=50K,Own-child,40,Male,United-States,Kimberly,Greene
18717,Never-married,Private,Adm-clerical,<=50K,Own-child,40,Female,Mexico,Rhonda,Oliver
18718,Widowed,Federal-gov,Adm-clerical,<=50K,Not-in-family,40,Female,United-States,Tracy,Sandoval
18719,Married-civ-spouse,Private,Exec-managerial,<=50K.,Husband,50,Male,Germany,Robert,Cox
18720,Married-spouse-absent,Private,Prof-specialty,>50K.,Not-in-family,60,Male,England,Amy,Collins
18721,Never-married,Private,Adm-clerical,<=50K,Not-in-family,48,Female,United-States,Jamie,Reynolds
18722,Divorced,Private,Sales,<=50K,Not-in-family,50,Female,United-States,Tina,Hutchinson
18723,Married-civ-spouse,Self-emp-inc,Sales,>50K,Husband,40,Male,United-States,Brian,Andersen
18724,Never-married,,,<=50K.,Own-child,40,Male,United-States,Michael,Simmons
18725,Married-civ-spouse,Private,Prof-specialty,<=50K,Husband,40,Male,United-States,Brenda,Klein
18726,Never-married,Private,Other-service,<=50K,Own-child,40,Female,United-States,Diane,Lewis
18727,Never-married,Private,Exec-managerial,<=50K,Not-in-family,50,Male,United-States,Gloria,Hernandez
18728,Never-married,Private,Farming-fishing,<=50K,Own-child,40,Male,United-States,Jonathan,Miles
18729,Divorced,Private,Adm-clerical,<=50K.,Not-in-family,25,Female,United-States,Crystal,Kent
18730,Married-civ-spouse,Private,Sales,<=50K.,Husband,40,Male,United-States,Kristin,Robbins
18731,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K,Husband,30,Male,United-States,Lauren,Rodriguez
18732,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,42,Male,United-States,Sara,Burton
18733,Married-civ-spouse,?,?,<=50K,Husband,24,Male,United-States,George,Lyons
18734,Never-married,Private,Sales,<=50K.,Own-child,35,Female,United-States,Jennifer,Gray
18735,Never-married,Self-emp-inc,Farming-fishing,<=50K.,Own-child,10,Male,United-States,Chelsea,Schmidt
18736,Divorced,Private,Tech-support,>50K.,Not-in-family,40,Male,Mexico,Candace,Mclaughlin
18737,Never-married,?,?,<=50K,Own-child,35,Female,United-States,Lisa,Warren
18738,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K.,Husband,50,Male,,Rebecca,Mills
18739,Never-married,Federal-gov,Adm-clerical,<=50K.,Not-in-family,60,Female,United-States,Johnny,Campbell
18740,Never-married,Private,Sales,<=50K,Other-relative,40,Male,United-States,Kevin,Hayden
18741,Divorced,Private,Exec-managerial,<=50K,Not-in-family,48,Female,United-States,Morgan,Patel
18742,Married-civ-spouse,Private,Transport-moving,<=50K,Husband,40,Male,Puerto-Rico,Robin,Green
18743,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,<=50K,Husband,70,Male,United-States,Thomas,White
18744,Married-civ-spouse,Local-gov,Prof-specialty,>50K,Wife,40,Female,United-States,Christy,Martinez
18745,Married-civ-spouse,Private,Handlers-cleaners,>50K,Husband,40,Male,United-States,Gavin,Mitchell
18746,Married-civ-spouse,Private,Transport-moving,>50K,Husband,80,Male,United-States,Eugene,Lewis
18747,Married-civ-spouse,Private,Transport-moving,<=50K,Husband,65,Male,Canada,Sharon,Mckay
18748,Never-married,Private,Priv-house-serv,<=50K.,Not-in-family,50,Female,,Robert,Ryan
18749,Widowed,Local-gov,Other-service,<=50K,Not-in-family,25,Female,United-States,Marcus,Thomas
18750,Divorced,Private,Adm-clerical,<=50K,Unmarried,40,Female,United-States,Shawn,Rowe
18751,Never-married,State-gov,Prof-specialty,<=50K,Own-child,40,Male,United-States,Holly,Vaughn
18752,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,52,Male,Yugoslavia,Derek,Flores
18753,Never-married,Private,Sales,<=50K,Not-in-family,50,Male,United-States,Chelsea,Wood
18754,Married-civ-spouse,Private,Sales,<=50K,Husband,40,Male,United-States,Carrie,Hartman
18755,Separated,State-gov,Other-service,<=50K.,Own-child,11,Female,United-States,Katherine,Harris
18756,Never-married,Private,Adm-clerical,<=50K,Not-in-family,40,Female,United-States,Ashley,Mckay
18757,Never-married,Private,Adm-clerical,<=50K,Own-child,40,Male,United-States,Samantha,Rice
18758,Never-married,Local-gov,Prof-specialty,<=50K,Own-child,40,Female,United-States,Jonathon,Drake
18759,Divorced,Private,Craft-repair,<=50K.,Not-in-family,40,Male,United-States,Melissa,Melendez
18760,Divorced,Private,Craft-repair,<=50K,Not-in-family,40,Male,United-States,Katherine,Cox
18761,Never-married,?,?,<=50K,Own-child,15,Male,United-States,Renee,Roy
18762,Never-married,Private,Handlers-cleaners,<=50K.,Not-in-family,64,Male,United-States,Jay,Gonzalez
18763,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,50,Male,United-States,Juan,Gonzalez
18764,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,40,Male,United-States,Joel,Ramirez
18765,Married-civ-spouse,Private,Sales,>50K,Husband,40,Male,United-States,Lynn,Caldwell
18766,Divorced,Private,Other-service,<=50K,Unmarried,20,Female,United-States,Sabrina,Hahn
18767,Separated,Local-gov,Adm-clerical,<=50K.,Unmarried,40,Female,United-States,Justin,Rodriguez
18768,Married-civ-spouse,State-gov,Exec-managerial,>50K,Husband,40,Male,United-States,Shelby,Graham
18769,Married-civ-spouse,Private,Craft-repair,<=50K.,Husband,40,Male,United-States,Gregory,Walker
18770,Divorced,Private,Prof-specialty,>50K,Not-in-family,45,Male,United-States,Carolyn,Clark
18771,Married-civ-spouse,Private,Transport-moving,>50K,Husband,45,Male,United-States,Kathleen,Avery
18772,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,40,Female,United-States,April,Baldwin
18773,Married-civ-spouse,Self-emp-not-inc,Craft-repair,>50K,Husband,55,Male,United-States,Rebecca,Santiago
18774,Widowed,Self-emp-inc,Exec-managerial,<=50K,Not-in-family,30,Female,United-States,Roberto,Lewis
18775,Married-civ-spouse,Local-gov,Handlers-cleaners,<=50K,Husband,40,Male,United-States,Margaret,Wong
18776,Never-married,Private,Sales,<=50K,Own-child,30,Male,United-States,Rachel,Haley
18777,Married-civ-spouse,Private,Adm-clerical,<=50K.,Husband,15,Male,United-States,Spencer,Donaldson
18778,Married-civ-spouse,Private,Transport-moving,<=50K.,Husband,35,Male,United-States,Brandy,Williams
18779,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K,Husband,40,Male,United-States,Frank,White
18780,Never-married,Federal-gov,Handlers-cleaners,<=50K,Not-in-family,40,Male,United-States,Cameron,Reyes
18781,Never-married,Private,Other-service,<=50K.,Own-child,10,Male,Germany,Kevin,Cook
18782,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,<=50K,Wife,15,Female,United-States,Natalie,Jordan
18783,Married-civ-spouse,Private,Other-service,<=50K,Husband,40,Male,United-States,Emily,Cruz
18784,Never-married,,,<=50K.,Own-child,45,Male,United-States,Ethan,Cox
18785,Divorced,Private,Other-service,<=50K,Not-in-family,16,Female,United-States,Jackie,Scott
18786,Married-civ-spouse,State-gov,Machine-op-inspct,>50K,Husband,40,Male,United-States,Laurie,Henderson
18787,Never-married,Private,Adm-clerical,<=50K.,Not-in-family,40,Female,United-States,Tabitha,Cisneros
18788,Married-civ-spouse,Private,Machine-op-inspct,<=50K.,Husband,42,Male,United-States,Erika,Cobb
18789,Divorced,Private,Adm-clerical,<=50K,Unmarried,40,Male,United-States,Linda,Graves
18790,Widowed,?,?,<=50K,Not-in-family,35,Female,United-States,Derek,Moore
18791,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,40,Male,Canada,Stephen,Collins
18792,Never-married,Private,Adm-clerical,<=50K,Own-child,40,Female,United-States,Barry,Montgomery
18793,Married-civ-spouse,Private,Protective-serv,>50K,Husband,24,Male,United-States,Michele,Glover
18794,Divorced,State-gov,Prof-specialty,<=50K,Unmarried,40,Female,United-States,Richard,Bush
18795,Divorced,Private,Transport-moving,<=50K,Not-in-family,20,Male,United-States,Adam,Lang
18796,Never-married,State-gov,Prof-specialty,>50K.,Not-in-family,45,Male,United-States,Christopher,Scott
18797,Separated,Private,Adm-clerical,<=50K,Own-child,40,Female,Philippines,Teresa,Mccall
18798,Married-civ-spouse,Private,Sales,>50K.,Husband,45,Male,United-States,Lisa,Lopez
18799,Never-married,Private,Prof-specialty,<=50K,Own-child,38,Female,United-States,Amy,Watkins
18800,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,50,Male,United-States,Christine,Moore
18801,Never-married,Private,Adm-clerical,<=50K.,Unmarried,40,Female,United-States,Angela,Gross
18802,Married-civ-spouse,Private,Handlers-cleaners,<=50K.,Husband,40,Male,United-States,Mark,Fox
18803,Married-civ-spouse,Local-gov,Prof-specialty,>50K,Wife,36,Female,United-States,Rita,Gray
18804,Divorced,Private,Machine-op-inspct,<=50K,Not-in-family,40,Male,United-States,Vanessa,Buchanan
18805,Divorced,Private,Tech-support,<=50K.,Not-in-family,40,Female,United-States,Jonathan,Boyle
18806,Married-civ-spouse,Self-emp-inc,Prof-specialty,>50K,Husband,40,Male,United-States,Katherine,Bautista
18807,Married-civ-spouse,Private,Sales,<=50K,Husband,40,Male,United-States,Erika,Johnson
18808,Separated,Private,Adm-clerical,<=50K.,Not-in-family,45,Female,United-States,Jason,Waters
18809,Divorced,Self-emp-not-inc,Craft-repair,<=50K,Not-in-family,45,Male,United-States,Cassidy,Allen
18810,Married-civ-spouse,Private,Machine-op-inspct,>50K,Husband,40,Male,United-States,Renee,Hernandez
18811,Never-married,Private,Prof-specialty,<=50K,Not-in-family,45,Female,Cuba,Julie,Davis
18812,Married-civ-spouse,Private,Exec-managerial,>50K.,Husband,50,Male,United-States,Erin,Howard
18813,Never-married,?,?,<=50K,Not-in-family,28,Female,United-States,Andrew,Christensen
18814,Married-civ-spouse,Private,Exec-managerial,>50K.,Husband,50,Male,United-States,John,Pierce
18815,Never-married,Private,Exec-managerial,<=50K,Own-child,40,Female,United-States,Erin,Chung
18816,Never-married,Local-gov,Adm-clerical,<=50K.,Own-child,40,Female,United-States,Jocelyn,Miles
18817,Divorced,Local-gov,Prof-specialty,<=50K.,Unmarried,33,Male,United-States,Ana,Meyers
18818,Never-married,?,?,>50K,Not-in-family,50,Male,South,Brooke,Smith
18819,Never-married,?,?,<=50K,Own-child,24,Female,United-States,Kimberly,Terrell
18820,Never-married,Local-gov,Prof-specialty,<=50K,Not-in-family,40,Female,United-States,Mark,Day
18821,Widowed,,,<=50K.,Unmarried,40,Female,United-States,Scott,Espinoza
18822,Never-married,?,?,<=50K,Own-child,32,Female,United-States,Sarah,Garcia
18823,Divorced,Private,Adm-clerical,<=50K,Unmarried,35,Female,United-States,Christopher,Curry
18824,Never-married,Private,Prof-specialty,<=50K.,Not-in-family,40,Female,United-States,Teresa,Simpson
18825,Married-civ-spouse,Private,Craft-repair,<=50K.,Husband,55,Male,United-States,Susan,Todd
18826,Divorced,?,?,<=50K,Not-in-family,25,Female,United-States,Angel,Evans
18827,Divorced,Private,Other-service,<=50K,Unmarried,40,Female,United-States,Angela,Beard
18828,Never-married,Private,Machine-op-inspct,<=50K.,Own-child,40,Female,United-States,Brandon,Morrison
18829,Divorced,Private,Exec-managerial,<=50K,Unmarried,40,Female,United-States,Samuel,Johnson
18830,Never-married,Private,Other-service,<=50K,Unmarried,35,Female,United-States,Johnny,Davidson
18831,Married-civ-spouse,Private,Sales,>50K,Husband,50,Male,United-States,Jamie,Gilmore
18832,Married-civ-spouse,Private,Machine-op-inspct,<=50K.,Wife,35,Female,United-States,Carmen,Sandoval
18833,Never-married,Private,Other-service,<=50K.,Own-child,30,Male,United-States,Kimberly,James
18834,Never-married,Private,Adm-clerical,<=50K,Not-in-family,40,Female,United-States,Martha,Smith
18835,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K,Husband,40,Male,United-States,Michelle,Ruiz
18836,Married-civ-spouse,Private,Machine-op-inspct,<=50K.,Husband,56,Male,United-States,Scott,Jones
18837,Never-married,Private,Adm-clerical,<=50K.,Not-in-family,40,Male,United-States,Sherry,Jordan
18838,Never-married,Private,Adm-clerical,<=50K,Other-relative,40,Female,United-States,Brett,Scott
18839,Never-married,Private,Sales,<=50K,Not-in-family,40,Male,United-States,Natalie,Mooney
18840,Never-married,Private,Tech-support,<=50K,Not-in-family,40,Female,United-States,Margaret,Peterson
18841,Separated,Private,Adm-clerical,<=50K,Not-in-family,40,Female,United-States,Henry,Nelson
18842,Never-married,Private,Exec-managerial,<=50K,Own-child,40,Male,United-States,Peter,Rodriguez
18843,Married-civ-spouse,Private,Tech-support,<=50K,Husband,40,Male,United-States,David,Berry
18844,Never-married,Private,Exec-managerial,<=50K,Not-in-family,55,Male,United-States,Johnny,King
18845,Married-civ-spouse,Self-emp-inc,Sales,>50K.,Husband,50,Male,United-States,Ivan,Rollins
18846,Never-married,?,?,<=50K,Own-child,10,Male,United-States,Anthony,Wells
18847,Divorced,Private,Transport-moving,<=50K.,Not-in-family,40,Male,United-States,Shannon,Ramsey
18848,Never-married,Self-emp-inc,Transport-moving,<=50K,Own-child,40,Male,United-States,Kristin,Turner
18849,Never-married,Private,Exec-managerial,<=50K,Own-child,40,Male,United-States,Miguel,Gilbert
18850,Divorced,Private,Adm-clerical,<=50K,Unmarried,40,Female,United-States,Martin,Evans
18851,Divorced,Private,Farming-fishing,<=50K,Not-in-family,40,Male,United-States,Joy,Fischer
18852,Married-civ-spouse,Private,Exec-managerial,<=50K.,Husband,30,Male,United-States,Susan,Schroeder
18853,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K,Husband,50,Male,India,Robert,Reed
18854,Never-married,Private,Other-service,<=50K.,Not-in-family,35,Female,United-States,Tamara,Rios
18855,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,60,Male,United-States,Mitchell,Thomas
18856,Divorced,Private,Prof-specialty,<=50K,Unmarried,35,Female,United-States,Allison,Hernandez
18857,Separated,Private,Other-service,<=50K.,Not-in-family,21,Male,United-States,Ernest,Hudson
18858,Married-civ-spouse,Private,Exec-managerial,>50K,Wife,35,Female,United-States,John,Moss
18859,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,40,Female,United-States,Lance,Miller
18860,Never-married,?,?,<=50K,Not-in-family,16,Female,United-States,Debra,Smith
18861,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,32,Male,United-States,Renee,Carlson
18862,Married-civ-spouse,Self-emp-inc,Exec-managerial,<=50K,Husband,50,Male,United-States,Patricia,Perez
18863,Never-married,Private,Other-service,<=50K,Other-relative,35,Female,United-States,Maureen,House
18864,Married-civ-spouse,Private,Craft-repair,<=50K.,Husband,40,Male,United-States,Daniel,Powell
18865,Married-civ-spouse,Private,Machine-op-inspct,<=50K,Husband,50,Male,United-States,Bonnie,Walton
18866,Divorced,Private,Prof-specialty,>50K,Unmarried,50,Female,United-States,Kristi,Mendoza
18867,Married-civ-spouse,State-gov,Prof-specialty,>50K,Husband,40,Male,?,Brian,Thomas
18868,Married-civ-spouse,Private,Exec-managerial,>50K.,Husband,45,Male,United-States,Jeffrey,Vargas
18869,Never-married,State-gov,Prof-specialty,<=50K,Not-in-family,38,Male,United-States,Linda,Williams
18870,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,40,Male,United-States,Pamela,Welch
18871,Never-married,Local-gov,Exec-managerial,<=50K.,Own-child,40,Female,United-States,Debra,Walker
18872,Divorced,Private,Other-service,<=50K,Not-in-family,44,Male,United-States,Ashley,Doyle
18873,Never-married,Private,Adm-clerical,<=50K,Own-child,35,Male,United-States,Anthony,Savage
18874,Married-civ-spouse,Local-gov,Protective-serv,>50K,Husband,53,Male,United-States,Peggy,Jones
18875,Never-married,Private,Other-service,<=50K,Own-child,30,Male,United-States,Cynthia,Jones
18876,Married-civ-spouse,Self-emp-not-inc,Craft-repair,>50K,Husband,60,Male,United-States,Robin,Rios
18877,Never-married,Local-gov,Adm-clerical,<=50K.,Own-child,25,Female,United-States,Erica,Munoz
18878,Never-married,?,?,<=50K,Own-child,40,Female,United-States,Whitney,Rodriguez
18879,Married-civ-spouse,Private,Adm-clerical,>50K.,Husband,40,Male,United-States,Robert,Zavala
18880,Married-civ-spouse,Private,Other-service,<=50K,Husband,40,Male,United-States,David,Horne
18881,Never-married,Private,Sales,>50K.,Not-in-family,65,Male,Canada,Lisa,Diaz
18882,Never-married,Private,Craft-repair,>50K,Not-in-family,40,Male,United-States,Erin,Mullins
18883,Married-spouse-absent,Private,Sales,<=50K.,Unmarried,40,Male,United-States,Alan,Alvarez
18884,Married-civ-spouse,Private,Exec-managerial,<=50K,Husband,40,Male,Iran,Brianna,Gardner
18885,Divorced,Self-emp-not-inc,Exec-managerial,>50K.,Not-in-family,60,Female,United-States,Bianca,Gonzalez
18886,Married-civ-spouse,Self-emp-inc,Sales,<=50K,Husband,55,Male,United-States,Lacey,Aguirre
18887,Never-married,Private,Craft-repair,<=50K,Not-in-family,70,Male,United-States,Jordan,Bryant
18888,Married-civ-spouse,Federal-gov,Sales,>50K,Husband,42,Male,United-States,Joseph,Mercado
18889,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,40,Male,United-States,Nathan,Osborne
18890,Separated,Private,Craft-repair,<=50K,Not-in-family,40,Male,?,Dylan,Beard
18891,Married-civ-spouse,Private,Other-service,<=50K,Husband,48,Male,United-States,Suzanne,Coleman
18892,Never-married,?,?,<=50K,Own-child,4,Female,South,Bryan,Gonzales
18893,Never-married,,,<=50K.,Other-relative,15,Female,United-States,Heather,Peters
18894,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,60,Male,United-States,Ronnie,Payne
18895,Divorced,Private,Sales,<=50K,Unmarried,50,Male,United-States,Thomas,Briggs
18896,Married-civ-spouse,State-gov,Adm-clerical,<=50K,Wife,37,Female,United-States,Heather,Ramos
18897,Widowed,?,?,<=50K,Not-in-family,20,Female,United-States,April,Caldwell
18898,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,50,Male,United-States,Tamara,Meyers
18899,Married-civ-spouse,Private,Machine-op-inspct,<=50K,Own-child,40,Female,United-States,Wanda,Diaz
18900,Married-civ-spouse,Private,Craft-repair,>50K.,Husband,35,Male,United-States,Christine,Thomas
18901,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,<=50K,Husband,50,Male,United-States,Reginald,Cox
18902,Never-married,Private,Adm-clerical,<=50K,Not-in-family,60,Female,United-States,Richard,Sexton
18903,Never-married,Private,Prof-specialty,<=50K,Own-child,40,Male,United-States,Madison,Fuller
18904,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,40,Male,United-States,Daniel,May
18905,Never-married,Private,Prof-specialty,<=50K.,Other-relative,12,Male,United-States,Kathryn,Pacheco
18906,Married-civ-spouse,Private,Sales,>50K,Husband,50,Male,United-States,Mark,Powell
18907,Never-married,Private,Sales,>50K,Not-in-family,50,Male,United-States,Sean,Huang
18908,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,99,Male,United-States,Jamie,Bird
18909,Married-civ-spouse,Private,Craft-repair,<=50K.,Husband,40,Male,United-States,Jared,Carr
18910,Never-married,?,?,<=50K,Unmarried,40,Female,United-States,Craig,Newton
18911,Married-civ-spouse,Private,Craft-repair,>50K.,Husband,50,Male,United-States,Meagan,Kemp
18912,Never-married,Private,Sales,<=50K,Own-child,25,Male,United-States,Paul,Clark
18913,Divorced,Private,Adm-clerical,<=50K,Unmarried,25,Male,United-States,Savannah,Thompson
18914,Never-married,Private,Tech-support,>50K,Not-in-family,45,Female,United-States,Amanda,Molina
18915,Married-civ-spouse,,,<=50K.,Wife,8,Female,United-States,Barry,Phillips
18916,Never-married,Private,Sales,<=50K,Not-in-family,52,Male,United-States,Gail,Oconnor
18917,Married-civ-spouse,Private,Other-service,<=50K,Husband,40,Male,Nicaragua,Joanna,Johnson
18918,Never-married,Private,Other-service,<=50K.,Not-in-family,40,Male,United-States,Dawn,Murillo
18919,Divorced,Private,Sales,<=50K.,Unmarried,23,Female,United-States,Brittney,Rivera
18920,Never-married,State-gov,Prof-specialty,<=50K,Not-in-family,20,Male,United-States,Travis,Simmons
18921,Never-married,Private,Other-service,<=50K,Not-in-family,25,Female,United-States,Sharon,Savage
18922,Married-civ-spouse,Private,Farming-fishing,<=50K,Husband,40,Male,United-States,Dr.,Olivia
18923,Never-married,Private,Other-service,<=50K.,Not-in-family,30,Female,United-States,Maria,Clark
18924,Divorced,Private,Craft-repair,<=50K,Not-in-family,40,Male,United-States,Todd,Alvarado
18925,Married-civ-spouse,Federal-gov,Adm-clerical,>50K,Husband,40,Male,United-States,Courtney,Huang
18926,Never-married,Private,Sales,<=50K,Own-child,15,Male,United-States,Francis,Garcia
18927,Married-civ-spouse,Private,Other-service,<=50K.,Husband,35,Male,United-States,Sharon,Wu
18928,Married-civ-spouse,State-gov,Tech-support,>50K,Own-child,25,Female,?,Eric,Rodriguez
18929,Never-married,Private,Protective-serv,<=50K.,Not-in-family,40,Male,United-States,John,Conway
18930,Never-married,Private,Adm-clerical,<=50K,Unmarried,35,Female,United-States,Malik,Brown
18931,Married-civ-spouse,Private,Handlers-cleaners,<=50K.,Husband,65,Male,United-States,Erika,Anderson
18932,Married-civ-spouse,Private,Tech-support,<=50K.,Wife,15,Female,United-States,Kim,Wilson
18933,Married-civ-spouse,Private,Adm-clerical,>50K,Husband,45,Male,United-States,Sheri,Howe
18934,Divorced,Private,Adm-clerical,<=50K.,Not-in-family,40,Female,United-States,Natasha,Mccullough
18935,Never-married,?,?,<=50K,Own-child,50,Male,United-States,Ryan,Mckay
18936,Married-civ-spouse,,,<=50K.,Husband,40,Male,United-States,Tracy,Dean
18937,Never-married,Private,Craft-repair,<=50K.,Other-relative,40,Male,United-States,Donald,Byrd
18938,Married-civ-spouse,Private,Prof-specialty,>50K.,Husband,50,Male,United-States,Claire,Thomas
18939,Divorced,Private,Sales,<=50K.,Not-in-family,40,Male,Outlying-US(Guam-USVI-etc),Nathan,Stewart
18940,Never-married,Private,Sales,<=50K,Not-in-family,33,Female,United-States,Jane,Lewis
18941,Married-civ-spouse,Private,Craft-repair,>50K,Husband,45,Male,United-States,Alexandra,Wang
18942,Married-civ-spouse,Local-gov,Exec-managerial,>50K,Husband,40,Male,United-States,Stacy,Garcia
18943,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,45,Female,United-States,Mary,Giles
18944,Never-married,Self-emp-not-inc,Prof-specialty,>50K,Not-in-family,60,Female,United-States,Jill,Crawford
18945,Never-married,Private,Adm-clerical,>50K,Own-child,40,Female,United-States,Lori,Watkins
18946,Divorced,Private,Prof-specialty,<=50K,Unmarried,40,Female,United-States,Jennifer,Thomas
18947,Never-married,Private,Prof-specialty,<=50K,Own-child,21,Female,United-States,Erik,Williams
18948,Never-married,Private,Other-service,<=50K,Own-child,20,Male,United-States,Barbara,Ramirez
18949,Married-civ-spouse,?,?,<=50K,Husband,20,Male,Mexico,Francisco,Christensen
18950,Never-married,Private,Adm-clerical,<=50K.,Not-in-family,44,Male,United-States,Travis,Sanders
18951,Never-married,Private,Adm-clerical,<=50K,Unmarried,40,Female,United-States,Damon,Smith
18952,Married-civ-spouse,Private,Transport-moving,<=50K.,Husband,40,Male,Mexico,Raven,Bailey
18953,Never-married,Private,Other-service,<=50K.,Own-child,40,Male,United-States,Ashley,Jenkins
18954,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,<=50K.,Husband,50,Male,United-States,Jordan,Parker
18955,Never-married,Private,Protective-serv,<=50K.,Other-relative,40,Male,United-States,Nicholas,Murphy
18956,Married-civ-spouse,Private,Other-service,<=50K,Husband,40,Male,United-States,John,Rose
18957,Divorced,Private,Exec-managerial,<=50K.,Not-in-family,40,Female,United-States,Natalie,Cohen
18958,Married-civ-spouse,Private,Adm-clerical,<=50K,Other-relative,40,Male,United-States,Paul,Fitzgerald
18959,Divorced,Private,Other-service,<=50K,Not-in-family,32,Male,United-States,David,Valenzuela
18960,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,<=50K,Husband,40,Male,United-States,Steven,Smith
18961,Married-civ-spouse,Private,Handlers-cleaners,<=50K,Husband,35,Male,United-States,Jordan,Hart
18962,Divorced,Private,Other-service,<=50K,Unmarried,40,Female,United-States,Sophia,Wall
18963,Widowed,Private,Exec-managerial,<=50K.,Not-in-family,70,Female,United-States,Bonnie,Singh
18964,Married-civ-spouse,Private,Sales,<=50K.,Husband,63,Male,United-States,Cynthia,Walker
18965,Married-civ-spouse,Private,Tech-support,<=50K,Husband,40,Male,England,Sarah,Bell
18966,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,<=50K,Husband,60,Male,United-States,Vickie,Singleton
18967,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K,Husband,80,Male,United-States,Lori,Craig
18968,Married-civ-spouse,Private,Other-service,<=50K,Husband,40,Male,United-States,Lisa,Conrad
18969,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,42,Male,China,Michael,Michael
18970,Widowed,?,?,<=50K,Own-child,40,Male,United-States,Meredith,Acosta
18971,Never-married,Private,Machine-op-inspct,<=50K,Not-in-family,10,Male,United-States,Angel,Kelly
18972,Never-married,Private,Adm-clerical,<=50K,Not-in-family,8,Female,United-States,Dennis,Brown
18973,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K,Wife,10,Female,United-States,Timothy,Watts
18974,Never-married,Private,Sales,<=50K,Not-in-family,40,Male,United-States,Katie,Ingram
18975,Separated,Private,Prof-specialty,<=50K.,Not-in-family,50,Female,United-States,Erin,Caldwell
18976,Married-civ-spouse,Private,Transport-moving,>50K.,Husband,40,Male,Philippines,Justin,Roberson
18977,Never-married,Private,Other-service,<=50K,Own-child,12,Male,United-States,Michelle,Gardner
18978,Separated,Private,Craft-repair,>50K,Unmarried,40,Male,United-States,Veronica,Gonzalez
18979,Never-married,Private,Prof-specialty,<=50K,Not-in-family,45,Female,United-States,Leonard,Martinez
18980,Married-civ-spouse,Private,Sales,<=50K,Husband,30,Male,United-States,Teresa,Sandoval
18981,Never-married,Private,Sales,<=50K.,Own-child,24,Female,United-States,Erin,Stevens
18982,Separated,Private,Adm-clerical,<=50K,Unmarried,40,Female,United-States,Lance,Carter
18983,Divorced,Self-emp-not-inc,Prof-specialty,<=50K,Not-in-family,50,Female,United-States,Robert,Adkins
18984,Married-civ-spouse,Private,Farming-fishing,>50K,Husband,60,Male,United-States,Brandi,Steele
18985,Married-civ-spouse,Private,Craft-repair,>50K,Husband,45,Male,United-States,Nathan,Goodwin
18986,Never-married,Private,Handlers-cleaners,<=50K.,Own-child,23,Male,United-States,Kevin,Woods
18987,Married-civ-spouse,Private,Prof-specialty,>50K.,Husband,55,Male,,Jeffrey,Hale
18988,Never-married,Private,Adm-clerical,<=50K.,Own-child,50,Male,United-States,Tammy,Joyce
18989,Divorced,Private,Transport-moving,<=50K,Not-in-family,40,Male,United-States,Micheal,Stevens
18990,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,40,Male,United-States,Chelsea,Adams
18991,Never-married,Private,Craft-repair,<=50K,Own-child,40,Male,United-States,Renee,Jones
18992,Divorced,Private,Machine-op-inspct,<=50K.,Other-relative,40,Male,United-States,Brooke,Roman
18993,Divorced,Private,Prof-specialty,>50K,Own-child,40,Female,United-States,Michael,Burgess
18994,Married-civ-spouse,Private,Adm-clerical,<=50K.,Wife,30,Female,United-States,Tina,Cooper
18995,Never-married,Private,Adm-clerical,<=50K.,Other-relative,40,Female,United-States,Christina,Moses
18996,Married-civ-spouse,Private,Adm-clerical,<=50K.,Husband,40,Male,United-States,Andrew,Keith
18997,Never-married,Private,Prof-specialty,<=50K,Not-in-family,8,Female,United-States,Jesus,Hale
